Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_100,-540.977183423077,34,3.14515,181.2978399999998,-192.873048767,-173.47486304999998,-18.85037036,2.065759628,I_imid,Isobutyl,Hydro,Isobutyl,Hydro,Hydro,3.276026296,0,3.276026296,0,0,0.160504,0.493709,0.152148,
mol_1000,-1317.241769414349,78,5.55666,445.7024000000006,-158.693261046,-157.276345724,-21.475868016,-17.070754836,I_imid,DMB,Ethyl,DMB,tolu,tolu,1.753807476,1.711067804,1.753807476,3.798133026,3.798133026,0.0848,0.284251,0.09742,
mol_10000,-1077.882870363157,54,0.67686,355.4952800000003,-163.78486907200002,-162.625859949,-40.359496353,-20.986410996,III_benzimid,tolu,Isobutyl,tolu,Hydro,Hydro,3.798133026,3.276026296,3.798133026,0,0,0.076813,0.354671,0.075864,
mol_10001,-1156.487115741129,60,0.98557,383.54844000000037,-159.73994605800002,-154.953307406,-34.452126627,-21.860531033,III_benzimid,tolu,Isobutyl,tolu,Methyl,Methyl,3.798133026,3.276026296,3.798133026,1.803016771,1.803016771,0.082102,0.362369,0.082085,
mol_10002,-1235.074080449238,66,2.37707,411.6016000000004,-159.158245215,-155.225018803,-36.305160704,-21.168388606,III_benzimid,tolu,Isobutyl,tolu,Ethyl,Ethyl,3.798133026,3.276026296,3.798133026,1.711067804,1.711067804,0.078515,0.346204,0.073601,
mol_10003,-1313.653904865280,72,4.23934,439.6547600000005,-157.623358201,-154.539778975,-38.251066113,-20.396552535999998,III_benzimid,tolu,Isobutyl,tolu,Propyl,Propyl,3.798133026,3.276026296,3.798133026,1.649728751,1.649728751,0.076883,0.355444,0.07875,
mol_10007,-1392.208497536086,78,5.24966,467.7079200000005,-158.92292934,-155.43648933600002,-34.695600119,-21.896299046000003,III_benzimid,tolu,Isobutyl,tolu,t-Butyl,t-Butyl,3.798133026,3.276026296,3.798133026,4.972259776,4.972259776,0.085259,0.372957,0.084804,
mol_10010,-1618.396522979378,80,10.48305,535.7403599999991,-153.546432228,-149.842246601,-40.94747228600001,-23.135001812,III_benzimid,tolu,Isobutyl,tolu,tolu,tolu,3.798133026,3.276026296,3.798133026,3.798133026,3.798133026,0.072762,0.337683,0.069552,
mol_10014,-1696.987222682505,86,10.98428,563.793519999998,-153.88403207000002,-149.07794063900002,-40.171243653000005,-24.233142562,III_benzimid,tolu,Isobutyl,tolu,EP,EP,3.798133026,3.276026296,3.798133026,3.874770761,3.874770761,0.065458,0.331846,0.072663,
mol_10022,-1313.667048063531,72,1.86843,439.65476000000046,-158.575289354,-155.344873022,-36.899411727,-19.654836898000003,III_benzimid,DMP,Isobutyl,DMP,Ethyl,Ethyl,8.431506296,3.276026296,8.431506296,1.711067804,1.711067804,0.077277,0.348488,0.076324,
