Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
DVNX 2.1.6-9,VISCOSITY DATA REPORT,,,,,,,,,
,,,,,,,,,,
SAMPLE RUN INFORMATION,,,,,,,,,,
Test Start,08/30/22 9:53,Test End,08/30/22 10:00,Tester,Administrator, ,,,,
Instrument,RV (1.000000),S/N,86024291,Model,DVNXRVCJG,FWV,2.1.6-9,,,
Spindle,CP-40 (40),S/N,0,SMC, 0.327,SRC, 7.500,YMC, 0.000,
Global Limits,None,Temperature Offset,None,Temperature Control,No,Accessory,None,,,
File,,Test Data Saved, ,Test Data Saved by,,,,,,
Notes,,,,,,,,,,
,,,,,,,,,,
Test Method,,,,,,,,,,
Test Method File Name,Viscosity-test.dvt,Test Method Saved On,,Test Method Created By,,,,,,
Instructions,,,,,,,,,,
,,,,,,,,,,
Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,
(#),(RPM),(°C),Type,(hh:mm:ss),(hh:mm:ss),at step end,Type Oper. Val. Tol Unit,(g/cm³),Type Low High Unit,
1, 1.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,
2, 2.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,
3, 4.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,
4, 8.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
5,10.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
6,12.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
7,16.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
8,20.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
9,28.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
10,36.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
11,48.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
12,60.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
13,75.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
14,90.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
15,105.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
16,120.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
17,140.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
18,160.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
19,185.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
20,200.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,
Results,,,,,,,,,,
,,,,,,,,,,
Test Averaging,Steps:,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,
,(),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),
,,0.00,   0.0,0.00,0.00,0.000,---,0.0000,0.00,
,,,,,,,,,,
Step Averaging,Step,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,
,(#),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),
,1,392.4,  12.0, 1.0,29.43,7.500,---,0.0000,32.70,
,2,202.7,  12.4, 2.0,30.41,15.00,---,0.0000,16.35,
,3,116.9,  14.3, 4.0,35.07,30.00,---,0.0000,8.18,
,4,66.22,  16.2, 8.0,39.73,60.00,---,0.0000,4.09,
,5,57.23,  17.5,10.0,42.92,75.00,---,0.0000,3.27,
,6,51.50,  18.9,12.0,46.35,90.00,---,0.0000,2.73,
,7,43.12,  21.1,16.0,51.75,120.0,---,0.0000,2.04,
,8,38.91,  23.8,20.0,58.37,150.0,---,0.0000,1.64,
,9,32.93,  28.2,28.0,69.16,210.0,---,0.0000,1.17,
,10,30.25,  33.3,36.0,81.67,270.0,---,0.0000,0.91,
,11,27.52,  40.4,48.0,99.08,360.0,---,0.0000,0.68,
,12,26.05,  47.8,60.0,117.2,450.0,---,0.0000,0.55,
,13,24.63,  56.5,75.0,138.6,562.5,---,0.0000,0.44,
,14,23.65,  65.1,90.0,159.7,675.0,---,0.0000,0.36,
,15,22.73,  73.0,105.0,179.0,787.5,---,0.0000,0.31,
,16,21.83,  80.1,120.0,196.4,900.0,---,0.0000,0.27,
,17,20.51,  87.8,140.0,215.3,1050,---,0.0000,0.23,
,18,19.31,  94.5,160.0,231.8,1200,---,0.0000,0.20,
,19,0.00,   0.0,185.0,249.9,1388,---,0.0000,0.18,
,20,0.00,   0.0,200.0,260.7,1500,---,0.0000,0.16,
,,,,,,,,,,
Gel Time,Total Time,Peak Temp,Peak Temp Time,,,,,,,
(mm:ss),(mm:ss),(°C),(mm:ss),,,,,,,
---,00:07:10.0,--- ,°C,---,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DATA,,,,,,,,,,
Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy
(#),(#),(s),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP)
1,1,30,392.4,  12.0, 1.0,29.43,7.500,---,0.0000,32.70
2,2,60,202.7,  12.4, 2.0,30.41,15.00,---,0.0000,16.35
3,3,90,116.9,  14.3, 4.0,35.07,30.00,---,0.0000,8.18
4,4,110,66.22,  16.2, 8.0,39.73,60.00,---,0.0000,4.09
5,5,130,57.23,  17.5,10.0,42.92,75.00,---,0.0000,3.27
6,6,150,51.50,  18.9,12.0,46.35,90.00,---,0.0000,2.73
7,7,170,43.12,  21.1,16.0,51.75,120.0,---,0.0000,2.04
8,8,190,38.91,  23.8,20.0,58.37,150.0,---,0.0000,1.64
9,9,210,32.93,  28.2,28.0,69.16,210.0,---,0.0000,1.17
10,10,230,30.25,  33.3,36.0,81.67,270.0,---,0.0000,0.91
11,11,250,27.52,  40.4,48.0,99.08,360.0,---,0.0000,0.68
12,12,270,26.05,  47.8,60.0,117.2,450.0,---,0.0000,0.55
13,13,290,24.63,  56.5,75.0,138.6,562.5,---,0.0000,0.44
14,14,310,23.65,  65.1,90.0,159.7,675.0,---,0.0000,0.36
15,15,330,22.73,  73.0,105.0,179.0,787.5,---,0.0000,0.31
16,16,350,21.83,  80.1,120.0,196.4,900.0,---,0.0000,0.27
17,17,370,20.51,  87.8,140.0,215.3,1050,---,0.0000,0.23
18,18,390,19.31,  94.5,160.0,231.8,1200,---,0.0000,0.20
19,19,410,19.31,  94.5,160.0,231.8,1200,---,0.0000,0.20
