Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
DVNX 2.1.6-9,VISCOSITY DATA REPORT,,,,,,,,,,
,,,,,,,,,,,
SAMPLE RUN INFORMATION,,,,,,,,,,,
Test Start,10/04/22 14:36,Test End,10/04/22 14:44,Tester,Administrator, ,,,,,
Instrument,RV (1.000000),S/N,86024291,Model,DVNXRVCJG,FWV,2.1.6-9,,,,
Spindle,CP-40 (40),S/N,0,SMC, 0.327,SRC, 7.500,YMC, 0.000,,
Global Limits,None,Temperature Offset,None,Temperature Control,No,Accessory,None,,,,
File,,Test Data Saved, ,Test Data Saved by,,,,,,,
Notes,,,,,,,,,,,
,,,,,,,,,,,
Test Method,,,,,,,,,,,
Test Method File Name,Unsaved Test,Test Method Saved On,,Test Method Created By,,,,,,,
Instructions,,,,,,,,,,,
,,,,,,,,,,,
Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,,
(#),(RPM),(°C),Type,(hh:mm:ss),(hh:mm:ss),at step end,Type Oper. Val. Tol Unit,(g/cm³),Type Low High Unit,,
1, 1.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
2, 2.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
3, 4.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
4, 8.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
5,10.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
6,12.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
7,16.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
8,20.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
9,28.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
10,36.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
11,48.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
12,60.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
13,75.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
14,90.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
15,105.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
16,120.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
17,140.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
18,160.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
19,185.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
20,200.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
21,225.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
22,250.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
Results,,,,,,,,,,,
,,,,,,,,,,,
Test Averaging,Steps:,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,,
,(),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),,
,,0.00,   0.0,0.00,0.00,0.000,---,0.0000,0.00,,
,,,,,,,,,,,
Step Averaging,Step,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,,
,(#),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),,
,1,55.59,   1.7, 1.0,4.17,7.500,---,0.0000,32.70,,
,2,44.15,   2.7, 2.0,6.62,15.00,---,0.0000,16.35,,
,3,33.52,   4.1, 4.0,10.06,30.00,---,0.0000,8.18,,
,4,26.98,   6.6, 8.0,16.19,60.00,---,0.0000,4.09,,
,5,25.18,   7.7,10.0,18.88,75.00,---,0.0000,3.27,,
,6,23.98,   8.8,12.0,21.58,90.00,---,0.0000,2.73,,
,7,22.69,  11.1,16.0,27.22,120.0,---,0.0000,2.04,,
,8,21.42,  13.1,20.0,32.13,150.0,---,0.0000,1.64,,
,9,20.20,  17.3,28.0,42.43,210.0,---,0.0000,1.17,,
,10,19.26,  21.2,36.0,51.99,270.0,---,0.0000,0.91,,
,11,18.26,  26.8,48.0,65.73,360.0,---,0.0000,0.68,,
,12,17.60,  32.3,60.0,79.22,450.0,---,0.0000,0.55,,
,13,17.00,  39.0,75.0,95.65,562.5,---,0.0000,0.44,,
,14,16.57,  45.6,90.0,111.8,675.0,---,0.0000,0.36,,
,15,16.19,  52.0,105.0,127.5,787.5,---,0.0000,0.31,,
,16,15.86,  58.2,120.0,142.7,900.0,---,0.0000,0.27,,
,17,15.49,  66.3,140.0,162.6,1050,---,0.0000,0.23,,
,18,15.23,  74.5,160.0,182.7,1200,---,0.0000,0.20,,
,19,14.88,  84.2,185.0,206.5,1388,---,0.0000,0.18,,
,20,14.73,  90.1,200.0,221.0,1500,---,0.0000,0.16,,
,21,14.48,  99.6,225.0,244.3,1688,---,0.0000,0.15,,
,22,0.00,   0.0,250.0,267.3,1875,---,0.0000,0.13,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DATA,,,,,,,,,,,
Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,
(#),(#),(s),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),
1,1,30,55.59,   1.7, 1.0,4.17,7.500,---,0.0000,32.70,
2,2,60,44.15,   2.7, 2.0,6.62,15.00,---,0.0000,16.35,
3,3,90,33.52,   4.1, 4.0,10.06,30.00,---,0.0000,8.18,
4,4,110,26.98,   6.6, 8.0,16.19,60.00,---,0.0000,4.09,
5,5,130,25.18,   7.7,10.0,18.88,75.00,---,0.0000,3.27,
6,6,150,23.98,   8.8,12.0,21.58,90.00,---,0.0000,2.73,
7,7,170,22.69,  11.1,16.0,27.22,120.0,---,0.0000,2.04,
8,8,190,21.42,  13.1,20.0,32.13,150.0,---,0.0000,1.64,
9,9,210,20.20,  17.3,28.0,42.43,210.0,---,0.0000,1.17,
10,10,230,19.26,  21.2,36.0,51.99,270.0,---,0.0000,0.91,
11,11,250,18.26,  26.8,48.0,65.73,360.0,---,0.0000,0.68,
12,12,270,17.60,  32.3,60.0,79.22,450.0,---,0.0000,0.55,
13,13,290,17.00,  39.0,75.0,95.65,562.5,---,0.0000,0.44,
14,14,310,16.57,  45.6,90.0,111.8,675.0,---,0.0000,0.36,
15,15,330,16.19,  52.0,105.0,127.5,787.5,---,0.0000,0.31,
16,16,350,15.86,  58.2,120.0,142.7,900.0,---,0.0000,0.27,
17,17,370,15.49,  66.3,140.0,162.6,1050,---,0.0000,0.23,
18,18,390,15.23,  74.5,160.0,182.7,1200,---,0.0000,0.20,
19,19,410,14.88,  84.2,185.0,206.5,1388,---,0.0000,0.18,
20,20,430,14.73,  90.1,200.0,221.0,1500,---,0.0000,0.16,
21,21,450,14.48,  99.6,225.0,244.3,1688,---,0.0000,0.15,
22,22,470,EEEE,EEEE,250.0,EEEE,1875,---,0.0000,0.13,
