Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
DVNX 2.1.6-9,VISCOSITY DATA REPORT,,,,,,,,,,
,,,,,,,,,,,
SAMPLE RUN INFORMATION,,,,,,,,,,,
Test Start,08/25/22 15:18,Test End,08/25/22 15:25,Tester,Administrator, ,,,,,
Instrument,RV (1.000000),S/N,86024291,Model,DVNXRVCJG,FWV,2.1.6-9,,,,
Spindle,CP-40 (40),S/N,0,SMC, 0.327,SRC, 7.500,YMC, 0.000,,
Global Limits,None,Temperature Offset,None,Temperature Control,No,Accessory,None,,,,
File,,Test Data Saved, ,Test Data Saved by,,,,,,,
Notes,,,,,,,,,,,
,,,,,,,,,,,
Test Method,,,,,,,,,,,
Test Method File Name,Viscosity-test.dvt,Test Method Saved On,,Test Method Created By,,,,,,,
Instructions,,,,,,,,,,,
,,,,,,,,,,,
Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,,
(#),(RPM),(°C),Type,(hh:mm:ss),(hh:mm:ss),at step end,Type Oper. Val. Tol Unit,(g/cm³),Type Low High Unit,,
1, 1.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
2, 2.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
3, 4.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
4, 8.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
5,10.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
6,12.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
7,16.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
8,20.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
9,28.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
10,36.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
11,48.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
12,60.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
13,75.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
14,90.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
15,105.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
16,120.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
17,140.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
18,160.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
19,185.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
20,200.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
Results,,,,,,,,,,,
,,,,,,,,,,,
Test Averaging,Steps:,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,,
,(),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),,
,,0.00,   0.0,0.00,0.00,0.000,---,0.0000,0.00,,
,,,,,,,,,,,
Step Averaging,Step,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,,
,(#),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),,
,1,45.78,   1.4, 1.0,3.43,7.500,---,0.0000,32.70,,
,2,39.24,   2.4, 2.0,5.89,15.00,---,0.0000,16.35,,
,3,31.07,   3.8, 4.0,9.32,30.00,---,0.0000,8.18,,
,4,25.75,   6.3, 8.0,15.45,60.00,---,0.0000,4.09,,
,5,24.20,   7.4,10.0,18.15,75.00,---,0.0000,3.27,,
,6,23.16,   8.5,12.0,20.85,90.00,---,0.0000,2.73,,
,7,22.07,  10.8,16.0,26.49,120.0,---,0.0000,2.04,,
,8,20.93,  12.8,20.0,31.39,150.0,---,0.0000,1.64,,
,9,19.74,  16.9,28.0,41.45,210.0,---,0.0000,1.17,,
,10,18.89,  20.8,36.0,51.01,270.0,---,0.0000,0.91,,
,11,18.05,  26.5,48.0,64.99,360.0,---,0.0000,0.68,,
,12,17.39,  31.9,60.0,78.23,450.0,---,0.0000,0.55,,
,13,16.92,  38.8,75.0,95.16,562.5,---,0.0000,0.44,,
,14,16.50,  45.4,90.0,111.3,675.0,---,0.0000,0.36,,
,15,16.10,  51.7,105.0,126.8,787.5,---,0.0000,0.31,,
,16,15.80,  58.0,120.0,142.2,900.0,---,0.0000,0.27,,
,17,15.51,  66.4,140.0,162.8,1050,---,0.0000,0.23,,
,18,15.25,  74.6,160.0,183.0,1200,---,0.0000,0.20,,
,19,14.92,  84.4,185.0,207.0,1388,---,0.0000,0.18,,
,20,14.76,  90.3,200.0,221.5,1500,---,0.0000,0.16,,
,,,,,,,,,,,
Gel Time,Total Time,Peak Temp,Peak Temp Time,,,,,,,,
(mm:ss),(mm:ss),(°C),(mm:ss),,,,,,,,
---,00:07:10.0,--- ,°C,---,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DATA,,,,,,,,,,,
Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,
(#),(#),(s),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),
1,1,30,45.78,   1.4, 1.0,3.43,7.500,---,0.0000,32.70,
2,2,60,39.24,   2.4, 2.0,5.89,15.00,---,0.0000,16.35,
3,3,90,31.07,   3.8, 4.0,9.32,30.00,---,0.0000,8.18,
4,4,110,25.75,   6.3, 8.0,15.45,60.00,---,0.0000,4.09,
5,5,130,24.20,   7.4,10.0,18.15,75.00,---,0.0000,3.27,
6,6,150,23.16,   8.5,12.0,20.85,90.00,---,0.0000,2.73,
7,7,170,22.07,  10.8,16.0,26.49,120.0,---,0.0000,2.04,
8,8,190,20.93,  12.8,20.0,31.39,150.0,---,0.0000,1.64,
9,9,210,19.74,  16.9,28.0,41.45,210.0,---,0.0000,1.17,
10,10,230,18.89,  20.8,36.0,51.01,270.0,---,0.0000,0.91,
11,11,250,18.05,  26.5,48.0,64.99,360.0,---,0.0000,0.68,
12,12,270,17.39,  31.9,60.0,78.23,450.0,---,0.0000,0.55,
13,13,290,16.92,  38.8,75.0,95.16,562.5,---,0.0000,0.44,
14,14,310,16.50,  45.4,90.0,111.3,675.0,---,0.0000,0.36,
15,15,330,16.10,  51.7,105.0,126.8,787.5,---,0.0000,0.31,
16,16,350,15.80,  58.0,120.0,142.2,900.0,---,0.0000,0.27,
17,17,370,15.51,  66.4,140.0,162.8,1050,---,0.0000,0.23,
18,18,390,15.25,  74.6,160.0,183.0,1200,---,0.0000,0.20,
19,19,410,14.92,  84.4,185.0,207.0,1388,---,0.0000,0.18,
20,20,430,14.76,  90.3,200.0,221.5,1500,---,0.0000,0.16,
