Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
DVNX 2.1.6-9,VISCOSITY DATA REPORT,,,,,,,,,,
,,,,,,,,,,,
SAMPLE RUN INFORMATION,,,,,,,,,,,
Test Start,09/09/22 12:45,Test End,09/09/22 12:52,Tester,Administrator, ,,,,,
Instrument,RV (1.000000),S/N,86024291,Model,DVNXRVCJG,FWV,2.1.6-9,,,,
Spindle,CP-40 (40),S/N,0,SMC, 0.327,SRC, 7.500,YMC, 0.000,,
Global Limits,None,Temperature Offset,None,Temperature Control,No,Accessory,None,,,,
File,,Test Data Saved, ,Test Data Saved by,,,,,,,
Notes,,,,,,,,,,,
,,,,,,,,,,,
Test Method,,,,,,,,,,,
Test Method File Name,Viscosity-test.dvt,Test Method Saved On,,Test Method Created By,,,,,,,
Instructions,,,,,,,,,,,
,,,,,,,,,,,
Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,,
(#),(RPM),(°C),Type,(hh:mm:ss),(hh:mm:ss),at step end,Type Oper. Val. Tol Unit,(g/cm³),Type Low High Unit,,
1, 1.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
2, 2.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
3, 4.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
4, 8.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
5,10.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
6,12.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
7,16.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
8,20.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
9,28.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
10,36.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
11,48.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
12,60.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
13,75.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
14,90.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
15,105.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
16,120.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
17,140.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
18,160.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
19,185.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
20,200.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
Results,,,,,,,,,,,
,,,,,,,,,,,
Test Averaging,Steps:,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,,
,(),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),,
,,0.00,   0.0,0.00,0.00,0.000,---,0.0000,0.00,,
,,,,,,,,,,,
Step Averaging,Step,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,,
,(#),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),,
,1,121.0,   3.7, 1.0,9.07,7.500,---,0.0000,32.70,,
,2,73.58,   4.5, 2.0,11.04,15.00,---,0.0000,16.35,,
,3,44.15,   5.4, 4.0,13.24,30.00,---,0.0000,8.18,,
,4,26.16,   6.4, 8.0,15.70,60.00,---,0.0000,4.09,,
,5,22.24,   6.8,10.0,16.68,75.00,---,0.0000,3.27,,
,6,19.62,   7.2,12.0,17.66,90.00,---,0.0000,2.73,,
,7,16.35,   8.0,16.0,19.62,120.0,---,0.0000,2.04,,
,8,13.90,   8.5,20.0,20.85,150.0,---,0.0000,1.64,,
,9,11.33,   9.7,28.0,23.79,210.0,---,0.0000,1.17,,
,10,9.63,  10.6,36.0,26.00,270.0,---,0.0000,0.91,,
,11,8.11,  11.9,48.0,29.18,360.0,---,0.0000,0.68,,
,12,7.19,  13.2,60.0,32.37,450.0,---,0.0000,0.55,,
,13,6.28,  14.4,75.0,35.32,562.5,---,0.0000,0.44,,
,14,5.81,  16.0,90.0,39.24,675.0,---,0.0000,0.36,,
,15,5.36,  17.2,105.0,42.18,787.5,---,0.0000,0.31,,
,16,5.04,  18.5,120.0,45.37,900.0,---,0.0000,0.27,,
,17,4.65,  19.9,140.0,48.80,1050,---,0.0000,0.23,,
,18,4.35,  21.3,160.0,52.24,1200,---,0.0000,0.20,,
,19,4.03,  22.8,185.0,55.92,1388,---,0.0000,0.18,,
,20,3.86,  23.6,200.0,57.88,1500,---,0.0000,0.16,,
,,,,,,,,,,,
Gel Time,Total Time,Peak Temp,Peak Temp Time,,,,,,,,
(mm:ss),(mm:ss),(°C),(mm:ss),,,,,,,,
---,00:07:10.0,--- ,°C,---,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DATA,,,,,,,,,,,
Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,
(#),(#),(s),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),
1,1,30,121.0,   3.7, 1.0,9.07,7.500,---,0.0000,32.70,
2,2,60,73.58,   4.5, 2.0,11.04,15.00,---,0.0000,16.35,
3,3,90,44.15,   5.4, 4.0,13.24,30.00,---,0.0000,8.18,
4,4,110,26.16,   6.4, 8.0,15.70,60.00,---,0.0000,4.09,
5,5,130,22.24,   6.8,10.0,16.68,75.00,---,0.0000,3.27,
6,6,150,19.62,   7.2,12.0,17.66,90.00,---,0.0000,2.73,
7,7,170,16.35,   8.0,16.0,19.62,120.0,---,0.0000,2.04,
8,8,190,13.90,   8.5,20.0,20.85,150.0,---,0.0000,1.64,
9,9,210,11.33,   9.7,28.0,23.79,210.0,---,0.0000,1.17,
10,10,230,9.63,  10.6,36.0,26.00,270.0,---,0.0000,0.91,
11,11,250,8.11,  11.9,48.0,29.18,360.0,---,0.0000,0.68,
12,12,270,7.19,  13.2,60.0,32.37,450.0,---,0.0000,0.55,
13,13,290,6.28,  14.4,75.0,35.32,562.5,---,0.0000,0.44,
14,14,310,5.81,  16.0,90.0,39.24,675.0,---,0.0000,0.36,
15,15,330,5.36,  17.2,105.0,42.18,787.5,---,0.0000,0.31,
16,16,350,5.04,  18.5,120.0,45.37,900.0,---,0.0000,0.27,
17,17,370,4.65,  19.9,140.0,48.80,1050,---,0.0000,0.23,
18,18,390,4.35,  21.3,160.0,52.24,1200,---,0.0000,0.20,
19,19,410,4.03,  22.8,185.0,55.92,1388,---,0.0000,0.18,
20,20,430,3.86,  23.6,200.0,57.88,1500,---,0.0000,0.16,
