name,smiles
hmol_04,Cn1c(-c2ccccc2)[n+](C)c2ccccc21
hmol_04_2a,CN1c2ccccc2N(C)C1(O)c1ccccc1
hmol_05,Cc1cc(C)c(-c2n(C)c3ccccc3[n+]2C)c(C)c1
hmol_05_2a,Cc1cc(C)c(C2(O)N(C)c3ccccc3N2C)c(C)c1
hmol_06,Cn1c(-c2c(-c3ccccc3)cccc2-c2ccccc2)[n+](C)c2ccccc21
hmol_06_2a,CN1c2ccccc2N(C)C1(O)c1c(-c2ccccc2)cccc1-c1ccccc1
hmol_07,Cn1c(-c2ccccc2)c(-c2ccccc2)[n+](C)c1-c1ccccc1
hmol_07_2a,CN1C(c2ccccc2)=C(c2ccccc2)N(C)C1(O)c1ccccc1
hmol_08,Cc1cc(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2C)c(C)c1
hmol_08_2a,Cc1cc(C)c(C2(O)N(C)C(c3ccccc3)=C(c3ccccc3)N2C)c(C)c1
hmol_09,CCCCn1c(-c2ccccc2)c(-c2ccccc2)[n+](CCCC)c1-c1c(C)cc(C)cc1C
hmol_09_2a,CCCCN1C(c2ccccc2)=C(c2ccccc2)N(CCCC)C1(O)c1c(C)cc(C)cc1C
hmol_10,Cc1c(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2C)c(C)c(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1C
hmol_10_2a,Cc1c(C)c(C2(O)N(C)C(c3ccccc3)=C(c3ccccc3)N2C)c(C)c(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1C
hmol_11,CCCCn1c(-c2ccccc2)c(-c2ccccc2)[n+](C)c1-c1c(C)c(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2CCCC)c(C)c1C
hmol_11_2a,CCCCN1C(c2ccccc2)=C(c2ccccc2)N(C)C1(O)c1c(C)c(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2CCCC)c(C)c1C
hmol_12,CCn1c(-c2ccccc2)c(-c2ccccc2)[n+](CC)c1-c1c(C)c(C)c(-c2n(CC)c(-c3ccccc3)c(-c3ccccc3)[n+]2CC)c(C)c1C
hmol_12_2a,CCN1C(c2ccccc2)=C(c2ccccc2)N(CC)C1(O)c1c(C)c(C)c(-c2n(CC)c(-c3ccccc3)c(-c3ccccc3)[n+]2CC)c(C)c1C
hmol_13,CCCn1c(-c2ccccc2)c(-c2ccccc2)[n+](CCC)c1-c1c(C)c(C)c(-c2n(CCC)c(-c3ccccc3)c(-c3ccccc3)[n+]2CCC)c(C)c1C
hmol_13_2a,CCCN1C(c2ccccc2)=C(c2ccccc2)N(CCC)C1(O)c1c(C)c(C)c(-c2n(CCC)c(-c3ccccc3)c(-c3ccccc3)[n+]2CCC)c(C)c1C
hmol_14,CCCCn1c(-c2ccccc2)c(-c2ccccc2)[n+](CCCC)c1-c1c(C)c(C)c(-c2n(CCCC)c(-c3ccccc3)c(-c3ccccc3)[n+]2CCCC)c(C)c1C
hmol_14_2a,CCCCN1C(c2ccccc2)=C(c2ccccc2)N(CCCC)C1(O)c1c(C)c(C)c(-c2n(CCCC)c(-c3ccccc3)c(-c3ccccc3)[n+]2CCCC)c(C)c1C
rmol_01,Cc1n(C)cc[n+]1C
rmol_01_2a,CN1C=CN(C)C1(C)O
rmol_02,Cc1c[n+](C)c(C)n1C
rmol_02_2a,CC1=CN(C)C(C)(O)N1C
rmol_03,Cc1c(C)[n+](C)c(C)n1C
rmol_03_2a,CC1=C(C)N(C)C(C)(O)N1C
rmol_04,CCCc1c(CCC)[n+](C)c(CCC)n1C
rmol_04_2a,CCCC1=C(CCC)N(C)C(O)(CCC)N1C
rmol_05,Cn1c(C(C)(C)C)c(C(C)(C)C)[n+](C)c1C(C)(C)C
rmol_05_2a,CN1C(C(C)(C)C)=C(C(C)(C)C)N(C)C1(O)C(C)(C)C
rmol_06,CCn1c(C)c[n+](CC)c1C
rmol_06_2a,CCN1C=C(C)N(CC)C1(C)O
rmol_07,CCc1c(CC)[n+](C)c(C)n1C
rmol_07_2a,CCC1=C(CC)N(C)C(C)(O)N1C
rmol_08,CCCc1c(CCC)[n+](CCC)c(CCC)n1CCC
rmol_08_2a,CCCC1=C(CCC)N(CCC)C(O)(CCC)N1CCC
rmol_09,CC(C)(C)c1c(C(C)(C)C)[n+](C(C)(C)C)c(C(C)(C)C)n1C(C)(C)C
rmol_09_2a,CC(C)(C)C1=C(C(C)(C)C)N(C(C)(C)C)C(O)(C(C)(C)C)N1C(C)(C)C
rmol_10,Cn1c(C(C)(C)C)c(C(C)(C)C)[n+](C(C)(C)C)c1C(C)(C)C
rmol_10_2a,CN1C(C(C)(C)C)=C(C(C)(C)C)N(C(C)(C)C)C1(O)C(C)(C)C
rmol_11,Cc1cccc(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1C
rmol_11_2a,Cc1cccc(C)c1C1(O)N(C)C(c2ccccc2)=C(c2ccccc2)N1C
rmol_12,Cn1c(Cc2ccccc2)c(Cc2ccccc2)[n+](C)c1Cc1ccccc1
rmol_12_2a,CN1C(Cc2ccccc2)=C(Cc2ccccc2)N(C)C1(O)Cc1ccccc1
rmol_13,Cc1cccc(C)c1-c1n(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)[n+]1-c1ccccc1
rmol_13_2a,Cc1cccc(C)c1C1(O)N(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)N1c1ccccc1
rmol_14,Cc1cccc(C)c1Cc1n(Cc2ccccc2)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1Cc1ccccc1
rmol_14_2a,Cc1cccc(C)c1CC1(O)N(Cc2ccccc2)C(Cc2ccccc2)=C(Cc2ccccc2)N1Cc1ccccc1
rmol_15,C[n+]1c(Cc2ccccc2)c(Cc2ccccc2)n(-c2ccccc2)c1Cc1ccccc1
rmol_15_2a,CN1C(Cc2ccccc2)=C(Cc2ccccc2)N(c2ccccc2)C1(O)Cc1ccccc1
rmol_16,C[n+]1c(-c2ccccc2)c(-c2ccccc2)n(Cc2ccccc2)c1-c1ccccc1
rmol_16_2a,CN1C(c2ccccc2)=C(c2ccccc2)N(Cc2ccccc2)C1(O)c1ccccc1
rmol_17,CCC[n+]1c(CC)c(CC)n(-c2c(OC)cc(OC)cc2OC)c1-c1c(OC)cccc1OC
rmol_17_2a,CCCN1C(CC)=C(CC)N(c2c(OC)cc(OC)cc2OC)C1(O)c1c(OC)cccc1OC
rmol_18,CCCn1c(C)c(C)[n+](CCC)c1-c1c(OC)cc(OC)cc1OC
rmol_18_2a,CCCN1C(C)=C(C)N(CCC)C1(O)c1c(OC)cc(OC)cc1OC
rmol_19,COc1cccc(OC)c1-c1n(-c2ccccc2)c(C)c(C)[n+]1-c1ccccc1
rmol_19_2a,COc1cccc(OC)c1C1(O)N(c2ccccc2)C(C)=C(C)N1c1ccccc1
rmol_20,CCc1c(CC)[n+](Cc2ccccc2)c(-c2c(OC)cc(OC)cc2OC)n1Cc1ccccc1
rmol_20_2a,CCC1=C(CC)N(Cc2ccccc2)C(O)(c2c(OC)cc(OC)cc2OC)N1Cc1ccccc1
rmol_21,Cc1n(C)c2ccccc2[n+]1C
rmol_21_2a,CN1c2ccccc2N(C)C1(C)O
rmol_22,Cc1ccc2c(c1)n(C)c(C)[n+]2C
rmol_22_2a,Cc1ccc2c(c1)N(C)C(C)(O)N2C
