Run #,LPt,"Thickness (um)",Pt/C,I/C,Specific volume Pt,"Specific volume C-support","Specific volume Ionomer (dry)",VCL (cm3/cm2 geo),VSOLID (cm3/cm2 geo),VVOID (cm3/cm2 geo),Void volume fraction (%),Void Volume (cm3),Ionomer vol/void vol,Ionomer vol/desometer PV,Ionomer vol/TEM total PV,Ionomer vol/TEM expoxy-filled PV
RN0721-28,0.25,6.3053906403940641,1.0800000000000001,0.69999999999999996,1.17e-05,1.07e-04,9.70e-05,6.31e-04,2.16e-04,4.15e-04,65.8,1.66e-02,0.23,0.00,0.00,0.00
RN0721-30,0.25,5.2159917485265179,1.0800000000000001,0.69999999999999996,1.17e-05,1.07e-04,9.70e-05,5.22e-04,2.16e-04,3.06e-04,58.6,1.22e-02,0.32,0.25,0.30,0.49
RN0721-32,0.25,4.2034962648556782,1.0800000000000001,0.69999999999999996,1.17e-05,1.07e-04,9.70e-05,4.20e-04,2.16e-04,2.04e-04,48.6,8.18e-03,0.47,0.00,0.00,0.00
RN0721-29,0.25,6.1275340909090641,1.0800000000000001,0.90000000000000002,1.17e-05,1.07e-04,1.25e-04,6.13e-04,2.44e-04,3.69e-04,60.2,1.48e-02,0.34,0.00,0.00,0.00
RN0721-23,0.25,4.4843363544813686,1.0800000000000001,0.90000000000000002,1.17e-05,1.07e-04,1.25e-04,4.48e-04,2.44e-04,2.05e-04,45.7,8.19e-03,0.61,0.00,0.00,0.00
RN0721-33,0.25,3.5837162324649285,1.0800000000000001,0.90000000000000002,1.17e-05,1.07e-04,1.25e-04,3.58e-04,2.44e-04,1.15e-04,32.0,4.59e-03,1.09,0.00,0.00,0.00
RN0721-21,0.25,5.1606741328047558,1.0800000000000001,1.1000000000000001,1.17e-05,1.07e-04,1.52e-04,5.16e-04,2.71e-04,2.45e-04,47.4,9.79e-03,0.62,0.00,0.00,0.00
RN0721-22,0.25,3.478296779661016,1.0800000000000001,1.1000000000000001,1.17e-05,1.07e-04,1.52e-04,3.48e-04,2.71e-04,7.65e-05,22.0,3.06e-03,1.99,0.76,0.79,6.96
RN0721-31 (55C),0.25,3.5388096709870425,1.0800000000000001,1.1000000000000001,1.17e-05,1.07e-04,1.52e-04,3.54e-04,2.71e-04,8.26e-05,23.3,3.30e-03,1.85,1.19,1.17,
RN0721-31 (80C),0.25,3.8320137176938398,1.0800000000000001,1.1000000000000001,1.17e-05,1.07e-04,1.52e-04,3.83e-04,2.71e-04,1.12e-04,29.2,4.48e-03,1.36,0.00,0.00,0.00
RN0721-31 (100C),0.25,3.415365427135685,1.0800000000000001,1.1000000000000001,1.17e-05,1.07e-04,1.52e-04,3.42e-04,2.71e-04,7.02e-05,20.6,2.81e-03,2.17,0.00,0.00,0.00
RN0721-31 (RT),0.25,3.1554643122676573,1.0800000000000001,1.1000000000000001,1.17e-05,1.07e-04,1.52e-04,3.16e-04,2.71e-04,4.43e-05,14.0,1.77e-03,3.45,1.57,0.93,
RN0721-26 (55C),0.25,7.581513529411775,1.0800000000000001,1.1000000000000001,1.17e-05,1.07e-04,1.52e-04,7.58e-04,2.71e-04,4.87e-04,64.2,1.95e-02,0.31,0.30,0.25,0.38
RN0721-26 (80C),0.25,7.6011886587771187,1.0800000000000001,1.1000000000000001,1.17e-05,1.07e-04,1.52e-04,7.60e-04,2.71e-04,4.89e-04,64.3,1.96e-02,0.31,0.00,0.00,0.00
RN0721-26 (100C),0.25,8.1058411012782781,1.0800000000000001,1.1000000000000001,1.17e-05,1.07e-04,1.52e-04,8.11e-04,2.71e-04,5.39e-04,66.5,2.16e-02,0.28,0.00,0.00,0.00
RN0721-26 (RT),0.25,6.846531527093572,1.0800000000000001,1.1000000000000001,1.17e-05,1.07e-04,1.52e-04,6.85e-04,2.71e-04,4.13e-04,60.4,1.65e-02,0.37,#DIV/0!,0.00,0.00
