PIDA,TestStart,TestEnd,Instrument,Researcher,Material,,Ontology,Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy
8,10/04/22,10/04/22,Brookfield Ametek DVnext Kegel/Platten Viskosimeter,Löttert,IrO2-35wt-ic013-1Prop04,,ViscosityMeasurement,1,1,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,1,1,30,55.59,1.7,1,4.17,7.5,---,0,32.7
,,,,,,,,2,2,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,2,2,60,44.15,2.7,2,6.62,15,---,0,16.35
,,,,,,,,3,4,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,3,3,90,33.52,4.1,4,10.06,30,---,0,8.18
,,,,,,,,4,8,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,4,4,110,26.98,6.6,8,16.19,60,---,0,4.09
,,,,,,,,5,10,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,5,5,130,25.18,7.7,10,18.88,75,---,0,3.27
,,,,,,,,6,12,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,6,6,150,23.98,8.8,12,21.58,90,---,0,2.73
,,,,,,,,7,16,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,7,7,170,22.69,11.1,16,27.22,120,---,0,2.04
,,,,,,,,8,20,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,8,8,190,21.42,13.1,20,32.13,150,---,0,1.64
,,,,,,,,9,28,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,9,9,210,20.2,17.3,28,42.43,210,---,0,1.17
,,,,,,,,10,36,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,10,10,230,19.26,21.2,36,51.99,270,---,0,0.91
,,,,,,,,11,48,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,11,11,250,18.26,26.8,48,65.73,360,---,0,0.68
,,,,,,,,12,60,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,12,12,270,17.6,32.3,60,79.22,450,---,0,0.55
,,,,,,,,13,75,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,13,13,290,17,39,75,95.65,562.5,---,0,0.44
,,,,,,,,14,90,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,14,14,310,16.57,45.6,90,111.8,675,---,0,0.36
,,,,,,,,15,105,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,15,15,330,16.19,52,105,127.5,787.5,---,0,0.31
,,,,,,,,16,120,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,16,16,350,15.86,58.2,120,142.7,900,---,0,0.27
,,,,,,,,17,140,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,17,17,370,15.49,66.3,140,162.6,1050,---,0,0.23
,,,,,,,,18,160,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,18,18,390,15.23,74.5,160,182.7,1200,---,0,0.2
,,,,,,,,19,185,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,19,19,410,14.88,84.2,185,206.5,1388,---,0,0.18
,,,,,,,,20,200,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,20,20,430,14.73,90.1,200,221,1500,---,0,0.16
,,,,,,,,21,225,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,21,21,450,14.48,99.6,225,244.3,1688,---,0,0.15
,,,,,
