PIDA,TestStart,TestEnd,Instrument,Researcher,Material,Ontology,Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy
13,10/04/22,10/04/22,Brookfield Ametek DVnext Kegel/Platten Viskosimeter,Löttert,TanakaPtC-IC065-1Prop088,ViscosityMeasurement,1,1,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,1,1,30,121,3.7,1,9.07,7.5,---,0,32.7
,,,,,,,2,2,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,2,2,60,73.58,4.5,2,11.04,15,---,0,16.35
,,,,,,,3,4,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,3,3,90,44.15,5.4,4,13.24,30,---,0,8.18
,,,,,,,4,8,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,4,4,110,26.16,6.4,8,15.7,60,---,0,4.09
,,,,,,,5,10,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,5,5,130,22.24,6.8,10,16.68,75,---,0,3.27
,,,,,,,6,12,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,6,6,150,19.62,7.2,12,17.66,90,---,0,2.73
,,,,,,,7,16,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,7,7,170,16.35,8,16,19.62,120,---,0,2.04
,,,,,,,8,20,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,8,8,190,13.9,8.5,20,20.85,150,---,0,1.64
,,,,,,,9,28,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,9,9,210,11.33,9.7,28,23.79,210,---,0,1.17
,,,,,,,10,36,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,10,10,230,9.63,10.6,36,26,270,---,0,0.91
,,,,,,,11,48,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,11,11,250,8.11,11.9,48,29.18,360,---,0,0.68
,,,,,,,12,60,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,12,12,270,7.19,13.2,60,32.37,450,---,0,0.55
,,,,,,,13,75,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,13,13,290,6.28,14.4,75,35.32,562.5,---,0,0.44
,,,,,,,14,90,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,14,14,310,5.81,16,90,39.24,675,---,0,0.36
,,,,,,,15,105,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,15,15,330,5.36,17.2,105,42.18,787.5,---,0,0.31
,,,,,,,16,120,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,16,16,350,5.04,18.5,120,45.37,900,---,0,0.27
,,,,,,,17,140,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,17,17,370,4.65,19.9,140,48.8,1050,---,0,0.23
,,,,,,,18,160,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,18,18,390,4.35,21.3,160,52.24,1200,---,0,0.2
,,,,,,,19,185,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,19,19,410,4.03,22.8,185,55.92,1388,---,0,0.18
,,,,,,,20,200,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,20,20,430,3.86,23.6,200,57.88,1500,---,0,0.16
