PIDA,TestStart,TestEnd,Instrument,Researcher,Material,Ontology,Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy
15,08/24/22,08/24/22,Brookfield Ametek DVnext Kegel/Platten Viskosimeter,Löttert,UmicorePtC-IC065-1Prop088,ViscosityMeasurement,1,1,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,1,1,30,94.83,2.9,1,7.11,7.5,---,0,32.7
,,,,,,,2,2,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,2,2,60,55.59,3.4,2,8.34,15,---,0,16.35
,,,,,,,3,4,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,3,3,90,30.25,3.7,4,9.07,30,---,0,8.18
,,,,,,,4,8,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,4,4,110,15.94,3.9,8,9.56,60,---,0,4.09
,,,,,,,5,10,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,5,5,130,13.73,4.2,10,10.3,75,---,0,3.27
,,,,,,,6,12,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,6,6,150,12.53,4.6,12,11.28,90,---,0,2.73
,,,,,,,7,16,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,7,7,170,10.42,5.1,16,12.51,120,---,0,2.04
,,,,,,,8,20,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,8,8,190,9.16,5.6,20,13.73,150,---,0,1.64
,,,,,,,9,28,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,9,9,210,7.71,6.6,28,16.19,210,---,0,1.17
,,,,,,,10,36,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,10,10,230,6.99,7.7,36,18.88,270,---,0,0.91
,,,,,,,11,48,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,11,11,250,6.4,9.4,48,23.05,360,---,0,0.68
,,,,,,,12,60,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,12,12,270,6.16,11.3,60,27.71,450,---,0,0.55
,,,,,,,13,75,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,13,13,290,5.84,13.4,75,32.86,562.5,---,0,0.44
,,,,,,,14,90,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,14,14,310,5.85,16.1,90,39.49,675,---,0,0.36
,,,,,,,15,105,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,15,15,330,5.89,18.9,105,46.35,787.5,---,0,0.31
,,,,,,,16,120,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,16,16,350,5.94,21.8,120,53.46,900,---,0,0.27
,,,,,,,17,140,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,17,17,370,5.86,25.1,140,61.56,1050,---,0,0.23
,,,,,,,18,160,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,18,18,390,5.76,28.2,160,69.16,1200,---,0,0.2
,,,,,,,19,185,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,19,19,410,5.59,31.6,185,77.5,1388,---,0,0.18
,,,,,,,20,200,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,20,20,430,5.56,34,200,83.38,1500,---,0,0.16
