DTXSID,PREFERREDNAME,CASRN,INCHIKEY,IUPACNAME,SMILES,INCHISTRING,MOLECULARFORMULA,AVERAGEMASS,MONOISOTOPICMASS,#ofSOURCES,#OFPUBMEDARTICLES,PUBCHEMDATASOURCES,CPDATCOUNT,QCLevel,#ToxCastActive,%ToxCastActive,TotalAssays,C,H,O,N,F,Cl,P,Br,I,S,V,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2022331,2-(Butan-2-yl)phenol,89-72-5,NGFPWHGISWUQOI-UHFFFAOYSA-N,2-(Butan-2-yl)phenol,CCC(C)C1=C(O)C=CC=C1,"InChI=1/C10H14O/c1-3-8(2)9-6-4-5-7-10(9)11/h4-8,11H,3H2,1-2H3",C10H14O,150.221,150.104465,173,6,112,3,1,53/858,6.0,858,10,14,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80196319,"Ethanol, 2-(methoxymethoxy)-",4484-61-1,INFFATMFXZFLAO-UHFFFAOYSA-N,2-(Methoxymethoxy)ethan-1-ol,COCOCCO,"InChI=1S/C4H10O3/c1-6-4-7-3-2-5/h5H,2-4H2,1H3",C4H10O3,106.121,106.062994,10,,32,,, ,,,4,10,3,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3073133,Bis[2-(2-ethylbutoxy)ethyl] adipate,7790-07-0,VHCPQIOKWWQIRV-UHFFFAOYSA-N,Bis[2-(2-ethylbutoxy)ethyl] hexanedioate,CCC(CC)COCCOC(=O)CCCCC(=O)OCCOCC(CC)CC,"InChI=1S/C22H42O6/c1-5-19(6-2)17-25-13-15-27-21(23)11-9-10-12-22(24)28-16-14-26-18-20(7-3)8-4/h19-20H,5-18H2,1-4H3",C22H42O6,402.572,402.298139,11,,18,,3, ,,,22,42,6,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8073263,"2,4-Hexadienenitrile",1516-01-4,NYKHMTWWXWMMHN-UHFFFAOYSA-N,"Hexa-2,4-dienenitrile",CC=CC=CC#N,"InChI=1S/C6H7N/c1-2-3-4-5-6-7/h2-5H,1H3",C6H7N,93.129,93.057849,16,,11,,, ,,,6,7,,1,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20864287,2-Methyl-1-undecanol,10522-26-6,FGZXHVORLPLICA-UHFFFAOYSA-N,2-Methylundecan-1-ol,CCCCCCCCCC(C)CO,"InChI=1/C12H26O/c1-3-4-5-6-7-8-9-10-12(2)11-13/h12-13H,3-11H2,1-2H3",C12H26O,186.339,186.198365,53,,37,,1, ,,,12,26,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6059318,"Butanoic acid, propyl ester",105-66-8,HUAZGNHGCJGYNP-UHFFFAOYSA-N,Propyl butanoate,CCCOC(=O)CCC,"InChI=1S/C7H14O2/c1-3-5-7(8)9-6-4-2/h3-6H2,1-2H3",C7H14O2,130.187,130.099380,104,,84,,, ,,,7,14,2,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5044441,1-(Chloromethyl)-2-methylbenzene,552-45-4,VQRBXYBBGHOGFT-UHFFFAOYSA-N,1-(Chloromethyl)-2-methylbenzene,CC1=CC=CC=C1CCl,"InChI=1S/C8H9Cl/c1-7-4-2-3-5-8(7)6-9/h2-5H,6H2,1H3",C8H9Cl,140.61,140.039278,92,,115,,1,1/402,0.0,402,8,9,,,,1,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4067565,Butyl decanoate,30673-36-0,ZRNCNTSXSYXHOW-UHFFFAOYSA-N,Butyl decanoate,CCCCCCCCCC(=O)OCCCC,"InChI=1S/C14H28O2/c1-3-5-7-8-9-10-11-12-14(15)16-13-6-4-2/h3-13H2,1-2H3",C14H28O2,228.376,228.208930,51,1,51,,1, ,,,14,28,2,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90499020,1-Methyl-3-[(propan-2-yl)oxy]benzene,19177-04-9,HZLKLSRFTPNXMY-UHFFFAOYSA-N,1-Methyl-3-[(propan-2-yl)oxy]benzene,CC(C)OC1=CC=CC(C)=C1,"InChI=1S/C10H14O/c1-8(2)11-10-6-4-5-9(3)7-10/h4-8H,1-3H3",C10H14O,150.221,150.104465,1,,,,5, ,,,10,14,1,,,,,,,,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10178406,Chlorodimethyl sulfide,2373-51-5,JWMLCCRPDOIBAV-UHFFFAOYSA-N,Chloro(methylsulfanyl)methane,CSCCl,"InChI=1S/C2H5ClS/c1-4-2-3/h2H2,1H3",C2H5ClS,96.57,95.980049,31,2,67,,, ,,,2,5,,,,1,,,,1,,
