   cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,isosmiles,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation,ontologylabel1,ontologylabel2,C,H,N,O,F,S
199169,"1,2,3-Trimethyl-1H-benzimidazole-3-ium","SCHEMBL1049324|CHEMBL4098868|DTXSID701296958|ZINC160388|1,2,3-Trimethyl-1H-benzimidazolium|1,2,3-Trimethyl-1H-benzimidazole-3-ium|50571-73-8",161.220,C10H13N2+,8.800,151.000,2.000,12,0,0,0,"InChI=1S/C10H13N2/c1-8-11(2)9-6-4-5-7-10(9)12(8)3/h4-7H,1-3H3/q+1",CC1=[N+](C2=CC=CC=C2N1C)C,ZZWIVZMYSVNULV-UHFFFAOYSA-N,"1,2,3-trimethylbenzimidazol-3-ium",NULL,Biological Test Results|Literature|Names and Identifiers|Patents,4,1445036,20050708,"3B Scientific (Wuhan) Corp|abcr GmbH|ABI Chem|AHH Chemical co.,ltd|AKos Consulting & Solutions|Aurora Fine Chemicals LLC|BenchChem|Chem-Space.com Database|Chembase.cn|ChEMBL|ChemBridge|ChemDB|ChemExper Chemical Directory|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|ChemTik|Collaborative Drug Discovery, Inc.|Crystallography Open Database|CymitQuimica|DiscoveryGate|EPA DSSTox|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|LeadScope|Mcule|MolPort|MTDP|NextBio|PATENTSCOPE (WIPO)|SCRIPDB|Sigma-Aldrich|Springer Nature|SureChEMBL|Thieme Chemistry|Thomson Pharma|TimTec|ToxPlanet|ZINC",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL,Imidazole,,10,13,,2,,
759332,"1,3-dimethyl-2-phenyl-1H-3,1-benzimidazol-3-ium","1,3-dimethyl-2-phenyl-1H-3,1-benzimidazol-3-ium|CHEMBL1197995|SCHEMBL13173879|ZINC225674|STK862413|AKOS001584058|CCG-103119|EU-0066775|1,3-Dimethyl-2-phenyl-1H-benzimidazol-3-ium",223.290,C15H15N2+,8.800,242.000,3.200,17,0,0,1,"InChI=1S/C15H15N2/c1-16-13-10-6-7-11-14(13)17(2)15(16)12-8-4-3-5-9-12/h3-11H,1-2H3/q+1",CN1C2=CC=CC=C2[N+](=C1C3=CC=CC=C3)C,NLMISGYQTXQMDK-UHFFFAOYSA-N,"1,3-dimethyl-2-phenylbenzimidazol-3-ium",NULL,Biological Test Results|Patents,2,422|1259370|1259389|1347074,20050708,"001Chemical|AbaChemScene|ABI Chem|AKos Consulting & Solutions|Center for Chemical Genomics, University of Michigan|Chem-Space.com Database|ChEMBL|ChemDB|ChemDiv|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|Collaborative Drug Discovery, Inc.|DiscoveryGate|Emory University Molecular Libraries Screening Center|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|LabNetwork, a WuXi AppTec Company|Mcule|MolCore BioPharmatech|MolPort|NextBio|PATENTSCOPE (WIPO)|Springer Nature|SureChEMBL|The Scripps Research Institute Molecular Screening Center|Thomson Pharma|Vitas-M Laboratory|Yuhao Chemical|ZINC",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL,Imidazole,,15,15,,2,,
3825986,"1,2,3-trimethyl-1H-imidazol-3-ium","SCHEMBL329129|ZINC2510895|1,2,3-trimethyl-1H-imidazol-3-ium",111.170,C6H11N2+,8.800,72.600,0.500,8,0,0,0,"InChI=1S/C6H11N2/c1-6-7(2)4-5-8(6)3/h4-5H,1-3H3/q+1",CC1=[N+](C=CN1C)C,KCUGPPHNMASOTE-UHFFFAOYSA-N,"1,2,3-trimethylimidazol-1-ium",NULL,Literature|Patents,2,NULL,20050911,"3B Scientific (Wuhan) Corp|3WAY PHARM INC|A2B Chem|AA BLOCKS|Aaron Chemicals LLC|AbaChemScene|abcr GmbH|ABI Chem|AHH Chemical co.,ltd|AKos Consulting & Solutions|Alfa Chemistry|Allbio Pharm Co., Ltd|Ambinter|Aurora Fine Chemicals LLC|BenchChem|Biocore|BLD Pharm|BOC Sciences|BydoneChem|Chembase.cn|ChemDB|Chemenu Inc.|Chemhere|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemMol|ChemShuttle|ChemSpider|ChemTik|Clearsynth|Crystallography Open Database|CymitQuimica|DiscoveryGate|ECI Group, LCSB, University of Luxembourg|eNovation Chemicals|EPA DSSTox|Google Patents|IBM|ISpharm|J&H Chemical Co.,ltd|Japan Chemical Substance Dictionary (Nikkaji)|labseeker|MolPort|NextBio|NextMove Software|PATENTSCOPE (WIPO)|SCRIPDB|Sigma-Aldrich|Smolecule|Springer Nature|Starshine Chemical|Strem Chemicals, Inc.|SureChEMBL|THE BioTek|Thieme Chemistry|Thomson Pharma|ToxPlanet|ZINC",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL,Imidazole,,6,11,,2,,
11032788,"1,2,3,4,5-Pentamethyl-1H-imidazol-3-ium","SCHEMBL487086|1,2,3,4,5-Pentamethyl-1H-imidazol-3-ium",139.220,C8H15N2+,8.800,110.000,1.300,10,0,0,0,InChI=1S/C8H15N2/c1-6-7(2)10(5)8(3)9(6)4/h1-5H3/q+1,CC1=C([N+](=C(N1C)C)C)C,DREZKWDRXQDOGO-UHFFFAOYSA-N,"1,2,3,4,5-pentamethylimidazol-1-ium",NULL,Literature|Patents,2,NULL,20061026,"ChemSpider|DiscoveryGate|ECI Group, LCSB, University of Luxembourg|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|NextBio|NextMove Software|PATENTSCOPE (WIPO)|SCRIPDB|Springer Nature|SureChEMBL|Thieme Chemistry|Thomson Pharma",Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL,Imidazole,,8,15,,2,,
18442043,"1,2,3,4-Tetramethyl-1H-imidazole-3-ium","SCHEMBL486503|1,2,3,4-Tetramethyl-1H-imidazole-3-ium",125.190,C7H13N2+,8.800,103.000,0.900,9,0,0,0,"InChI=1S/C7H13N2/c1-6-5-8(3)7(2)9(6)4/h5H,1-4H3/q+1",CC1=C[N+](=C(N1C)C)C,DNSADNILRQYBAB-UHFFFAOYSA-N,"1,2,3,4-tetramethylimidazol-1-ium",NULL,Patents,1,NULL,20071204,"ChemSpider|DiscoveryGate|ECI Group, LCSB, University of Luxembourg|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|PATENTSCOPE (WIPO)|SCRIPDB|SureChEMBL|Thomson Pharma",Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL,Imidazole,,7,13,,2,,
23522875,"1,3-Dimethyl-2,4,5-triphenyl-1H-imidazole-3-ium","SCHEMBL12311732|1,3-Dimethyl-2,4,5-triphenyl-1H-imidazole-3-ium",325.400,C23H21N2+,8.800,374.000,5.100,25,0,0,3,"InChI=1S/C23H21N2/c1-24-21(18-12-6-3-7-13-18)22(19-14-8-4-9-15-19)25(2)23(24)20-16-10-5-11-17-20/h3-17H,1-2H3/q+1",CN1C(=C([N+](=C1C2=CC=CC=C2)C)C3=CC=CC=C3)C4=CC=CC=C4,GJEPDNGYRJAOGX-UHFFFAOYSA-N,"1,3-dimethyl-2,4,5-triphenylimidazol-1-ium",NULL,Patents,1,NULL,20071206,Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|PATENTSCOPE (WIPO)|SCRIPDB|SureChEMBL,Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development,NULL,Imidazole,,23,21,,2,,
87115112,"1,3-Diethyl-2,4-dimethylimidazol-1-ium",SCHEMBL486617,153.240,C9H17N2+,8.800,125.000,1.500,11,0,0,2,"InChI=1S/C9H17N2/c1-5-10-7-8(3)11(6-2)9(10)4/h7H,5-6H2,1-4H3/q+1",CCN1C(=C[N+](=C1C)CC)C,KXTUUTFPAZMJJN-UHFFFAOYSA-N,"1,3-diethyl-2,4-dimethylimidazol-1-ium",NULL,Patents,1,NULL,20150212,Google Patents|IBM|PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,NULL,Imidazole,,9,17,,2,,
89329797,"1,2,3,4,5-Pentamethylimidazol-2-ol",SCHEMBL14404908,156.230,C8H16N2O,26.700,192.000,1.000,11,1,3,0,"InChI=1S/C8H16N2O/c1-6-7(2)10(5)8(3,11)9(6)4/h11H,1-5H3",CC1=C(N(C(N1C)(C)O)C)C,IUQIEVNPFNKFLL-UHFFFAOYSA-N,"1,2,3,4,5-pentamethylimidazol-2-ol",NULL,Patents,1,NULL,20150213,SureChEMBL,Curation Efforts|Research and Development,NULL,Imidazole,,8,16,1,2,,
89852495,"1,3-Dimethyl-2-mesityl-1H-benzoimidazole-3-ium","SCHEMBL15320330|1,3-Dimethyl-2-mesityl-1H-benzoimidazole-3-ium",265.400,C18H21N2+,8.800,312.000,4.300,20,0,0,1,"InChI=1S/C18H21N2/c1-12-10-13(2)17(14(3)11-12)18-19(4)15-8-6-7-9-16(15)20(18)5/h6-11H,1-5H3/q+1",CC1=CC(=C(C(=C1)C)C2=[N+](C3=CC=CC=C3N2C)C)C,RFQLSYQGPDPQQW-UHFFFAOYSA-N,"1,3-dimethyl-2-(2,4,6-trimethylphenyl)benzimidazol-3-ium",NULL,Patents,1,NULL,20150213,Google Patents|Japan Chemical Substance Dictionary (Nikkaji)|PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,NULL,Imidazole,,18,21,,2,,
122228573,"1-Methyl-2,4,5-triphenyl-3-benzyl-1H-imidazole-3-ium","SCHEMBL18165117|1-Methyl-2,4,5-triphenyl-3-benzyl-1H-imidazole-3-ium",401.500,C29H25N2+,8.800,523.000,6.700,31,0,0,5,"InChI=1S/C29H25N2/c1-30-27(24-16-8-3-9-17-24)28(25-18-10-4-11-19-25)31(22-23-14-6-2-7-15-23)29(30)26-20-12-5-13-21-26/h2-21H,22H2,1H3/q+1",C[N+]1=C(N(C(=C1C2=CC=CC=C2)C3=CC=CC=C3)CC4=CC=CC=C4)C5=CC=CC=C5,DTZCDZXDOQKDOE-UHFFFAOYSA-N,"1-benzyl-3-methyl-2,4,5-triphenylimidazol-3-ium",NULL,Patents,1,NULL,20161121,Google Patents|Japan Chemical Substance Dictionary (Nikkaji)|PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,NULL,Imidazole,,29,25,,2,,
