DOI,date_added,flag,name,run_title,uid
,2023-05-08,jasna,Ford,,44fe9432-d263-4ba4-ba58-dcd1fc1a180d
,2023-05-08,jasna,RN0721-22,,2869e9bc-a218-42e6-83ba-a64fe33a5a03
,2023-05-08,jasna,RN0721-23,,b8fa28a7-263d-4bf1-9b9d-abaa7a560444
,2023-05-08,jasna,RN0721-31 (80C),,6813d43e-6893-4d01-b015-8bd864c97bcf
,2023-05-08,jasna,RN0721-30,,4d2b3003-7a9c-4ce8-b16c-ad79bae72625
,2023-05-08,jasna,RN0721-26 (100C),,500654f7-da74-4ff4-9b4b-a90409604246
,2023-05-08,jasna,RN0721-31 (55C),,59a25e7e-34e9-4aac-ae41-df90ff8a5c36
,2023-05-08,jasna,RN0721-28,,cf56cac3-be6e-423f-bc8e-670793d44c4b
,2023-05-08,jasna,RN0721-31 (100C),,c0967102-c2cf-4e80-adb9-d1667a25d7e1
,2023-05-08,jasna,RN0721-31 (RT),,95a30151-bcb8-4f98-9e0b-5bc18e9c1a43
,2023-05-08,jasna,RN0721-26 (55C),,6c725d2e-844d-48ff-b714-5f0388c1d879
,2023-05-08,jasna,RN0721-26 (RT),,ba494e0d-c4d1-446a-9bbe-0704974c1996
,2023-05-08,jasna,RN0721-33,,ca4bae8a-f993-4adb-98de-695f0ab65085
,2023-05-08,jasna,RN0721-21,,39f12de0-4f37-43b9-88fe-4fffa9eef3fd
,2023-05-08,jasna,HW4 B2.2,,a8f226fe-17c0-49c8-b25b-d8a3861bca58
,2023-05-08,jasna,RN0721-26 (80C),,875be11e-1cd6-4d65-91ac-90cb5ade4bd3
,2023-05-08,jasna,RN0721-32,,a8bdea82-59eb-4502-bcce-4fd73fc61058
,2023-05-08,jasna,plate,,543d310a-7374-4067-af9e-d46e88a95539
,2023-05-08,jasna,RN0721-22 (0.15),,ba4d8242-6251-4b00-b492-654379cc57e2
,2023-05-08,jasna,RN0721-29,,472a126c-4bdf-40b6-bbe0-88f9d96f9165
,2023-05-08,,RN0721-21FuelCell,,8731828e-2395-4d80-955d-ce0379c03d01
,2023-05-08,,RN0721-22FuelCell,,03018a41-1b38-4050-bc2a-9d81e5efb806
,2023-05-08,,RN0721-26 (RT)FuelCell,,ec7c3829-5599-4f06-b406-c69b6e8ac857
,2023-05-08,,RN0721-31 (80C)FuelCell,,34d1d577-2ab7-4fb7-8e51-84a12fc0ffa8
,2023-05-08,,RN0721-31 (55C)FuelCell,,30844410-015c-4e62-9cb4-661215e0fbf2
,2023-05-08,,RN0721-33FuelCell,,9af88866-22c1-4aab-9c6d-e16cce2e9fa0
,2023-05-08,,RN0721-31 (100C)FuelCell,,6b83296e-bd6a-470b-a155-c889a43c5f8b
,2023-05-08,,RN0721-26 (55C)FuelCell,,dd534a3d-e545-4c0f-994a-f9796ec96ea5
,2023-05-08,,RN0721-32FuelCell,,737191b1-eb26-4f60-9d80-ca1febe5eb25
,2023-05-08,,RN0721-31 (RT)FuelCell,,c5e1fc28-e32e-491b-af74-80bff1f9b7e9
,2023-05-08,,RN0721-29FuelCell,,86345a0f-3e58-4144-884e-fe64b62e282b
,2023-05-08,,RN0721-22 (0.15)FuelCell,,dd1a4a87-36cd-45ff-8335-329749dad605
,2023-05-08,,RN0721-23FuelCell,,95a31cfb-73a0-4924-9721-264f70dedf7e
,2023-05-08,,RN0721-26 (80C)FuelCell,,c1b8ea01-dc6d-4b0c-b4dd-6e7b4edd5f39
,2023-05-08,,RN0721-30FuelCell,,6ce705cf-f603-4bd5-8de1-a2c7523d264d
,2023-05-08,,RN0721-26 (100C)FuelCell,,27c7dbff-62bf-4ee8-8691-bdd4de0d1569
,2023-05-08,,RN0721-28FuelCell,,ae1ca962-6044-4ec1-b1bf-0827977a1a41
