subject,predicate,object
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Ontology
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_labels,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#AnnotationProperty
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#AnnotationProperty
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#AnnotationProperty
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2002/07/owl#Thing
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2001/XMLSchema#string
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcetyleneBlack,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcetyleneBlack,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#CarbonBlack
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcetyleneBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,AcetyleneBlack
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcetyleneBlack,http://www.w3.org/2000/01/rdf-schema#comment,"Acetylene Black is a high-purity form of carbon black, consisting of fine particles of elemental carbon. It is commonly used as a conductive additive in lithium-ion batteries and fuel cells, due to its high surface area, electrical conductivity, and chemical stability."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcetyleneBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Carbon Black
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcetyleneBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Acetylene Carbon Black
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcetyleneBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,High-Purity Carbon Black
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcetyleneBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Conductive Carbon Additive
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#AcetyleneBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,AB
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#CarbonBlack,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#CarbonBlack,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#CarbonBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,CarbonBlack
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#CarbonBlack,http://www.w3.org/2000/01/rdf-schema#comment,"Carbon black is a form of amorphous carbon, consisting of fine particles produced by the incomplete combustion of hydrocarbons. It is used as a conductive additive in lithium-ion batteries, fuel cells, and supercapacitors, due to its high surface area, electrical conductivity, and electrochemical stability."
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#CarbonBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,CB
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#CarbonBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Conductive Carbon Black
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#CarbonBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Amorphous Carbon Black
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#CarbonBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,Carbon Black Additive
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#CarbonBlack,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#alternative_label,High Surface Area Carbon
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Matter
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material,http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#onto_name,Material
http://www.semanticweb.org/maxdreger/ontologies/2022/10/materials#Material,http://www.w3.org/2000/01/rdf-schema#comment,"A material is any substance that has a defined chemical composition and physical properties. In the context of hydrogen technologies, materials are used in various applications such as fuel cells, electrolyzers, and hydrogen storage. Examples of materials used in these applications include metals, ceramics, polymers, and composites."
